id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1340559444480322820,Calm and classy Madrid,36503894,Marta Y Enrique,Tetuán,Valdeacederas,40.46744534103022,-3.701502448548892,Entire home/apt,121.0,1,3,2025-03-04,2.81,48,2,3,
599935287470772150,Apartamento con terraza espectacular,453194903,Marta,Tetuán,Bellas Vistas,40.44914,-3.70949,Entire home/apt,,3,11,2023-12-09,0.31,1,0,0,
712114023482287507,Beautiful 2 Room Flat at the heart of Sol Madrid,478796705,Mary,Centro,Cortes,40.41499,-3.7021,Entire home/apt,116.0,1,55,2024-12-26,1.84,2,246,23,
588489438401868713,Coqueto y céntrico estudio,450828589,Maria,Centro,Embajadores,40.41144,-3.69816,Entire home/apt,57.0,7,67,2025-02-03,1.9,4,0,25,
53366795,Deluxe flat Jardines de Cuatro Caminos Bernabéu,75757420,Jose Ramon,Tetuán,Bellas Vistas,40.44867,-3.7062,Entire home/apt,117.0,2,24,2025-01-13,0.6,1,39,16,
19224699,Stable LoftC,134388380,Naza,Centro,Embajadores,40.40686449724799,-3.698777073538381,Entire home/apt,93.0,3,180,2025-03-02,1.92,2,65,36,
31405685,A 2 minutos de Sol y Callao - Diseño Premiado,3940766,Héctor,Centro,Sol,40.41897,-3.70576,Entire home/apt,167.0,2,10,2025-01-27,0.14,1,90,7,VT-4293
1057560,BRIGHT APARTMENT IN THE CENTER -SOL,5824815,Soledad,Centro,Palacio,40.42001,-3.70824,Entire home/apt,143.0,3,322,2025-01-25,2.24,1,14,39,
1126580049132168086,Luxury accommodation in Madrid,567327895,Santiago,Ciudad Lineal,San Pascual,40.44449976152284,-3.64940785648824,Private room,40.0,180,0,,,101,254,0,
37548309,CENTRAL INDUSTRIAL-CHIC HOUSE NEXT TO RETIRO PARK,155351149,Gustavo,Retiro,Niño Jesús,40.4104,-3.67136,Entire home/apt,441.0,2,94,2025-02-24,1.41,1,310,43,
25453414,"Vine, Nature-inspired, Bright & Modern, Malasana",165467697,Wave Autumn Vine,Centro,Universidad,40.42105,-3.70247,Entire home/apt,,2,355,2025-02-13,4.42,4,72,58,
34632929,Luxury apartment Chamberí final champions league,261285667,Jesus,Chamberí,Trafalgar,40.42969,-3.70202,Entire home/apt,,2,0,,,1,0,0,
50079925,Beautiful loft with courtyard in Chamberí(Ponzano),460391145,Francisco Andres,Chamberí,Rios Rosas,40.44018,-3.69977,Entire home/apt,86.0,1,62,2025-03-01,1.35,142,274,11,En proceso
47813500,"Cosy Studio in La Castellana, Almagro",385376370,Lis,Chamberí,Almagro,40.43745,-3.69276,Entire home/apt,,7,15,2022-05-18,0.31,1,0,0,
1205117004416614434,Habitación muy cómoda,582511047,Ruben,Vicálvaro,Casco Histórico de Vicálvaro,40.39517124660439,-3.623347042609201,Private room,55.0,1,0,,,1,267,0,
785956460452121603,Apartamento reformado y tranquilo en Gran Vía,22321820,Vanrays,Centro,Sol,40.418043924072,-3.700700593894504,Entire home/apt,101.0,3,63,2025-02-27,2.37,44,212,31,EXENTO - Alquiler de Temporada según la LAU
39069219,Apartamento con encanto en el Rastro,299447254,Julio,Centro,Embajadores,40.40765,-3.70932,Entire home/apt,100.0,2,43,2024-10-28,0.65,1,25,20,VT- 6778
45428382,"Lindo estudio con amplia cocina, a mts de Gran Vía",10561681,Almat,Centro,Sol,40.41933,-3.70221,Entire home/apt,99.0,2,56,2025-02-15,1.73,23,276,27,
1202885606668432601,Apartment with patio in the center of Madrid,211976423,Jose,Centro,Universidad,40.4235404893271,-3.704358246032724,Entire home/apt,86.0,3,22,2025-03-04,3.73,1,48,22,
